1.6511260	-0.0260833	1.9064816	0.0031143	0.3580778	-415.5103921	-0.0260833	0.0216586	0.0113594	0.0554858	0.0569319	0.1124177	-0.0014462
1.7011840	-0.0166138	2.1373009	0.0031143	-0.4284146	-415.5103921	-0.0166138	0.0218559	0.0094138	0.0553569	0.0569532	0.1123101	-0.0015964
1.7512166	-0.0109584	2.2225265	0.0035088	0.3102044	-415.5103921	-0.0109584	0.0221847	0.0125026	0.0554582	0.0571213	0.1125795	-0.0016631
1.8012492	-0.0188497	2.2140434	0.0034431	-0.4694490	-415.5103921	-0.0188497	0.0215929	0.0082505	0.0554931	0.0570508	0.1125439	-0.0015576
1.8512817	-0.0182578	2.0931098	0.0032458	-0.3326677	-415.5103921	-0.0182578	0.0222505	0.0089325	0.0552655	0.0566149	0.1118804	-0.0013494
1.9013143	-0.0076704	1.9244999	0.0029827	0.0161246	-415.5103921	-0.0076704	0.0219874	0.0094740	0.0561070	0.0574372	0.1135442	-0.0013303
1.9513469	-0.0282534	1.7332028	0.0030485	-0.7361725	-415.5103921	-0.0282534	0.0219874	0.0109582	0.0551424	0.0562921	0.1114346	-0.0011497
2.0013795	-0.0176002	1.4988326	0.0033773	0.5564107	-415.5103921	-0.0176002	0.0219874	0.0138665	0.0556330	0.0566925	0.1123255	-0.0010595
2.0514121	-0.0164165	1.3127307	0.0033773	-0.2779552	-415.5103921	-0.0164165	0.0217244	0.0120614	0.0560480	0.0570119	0.1130599	-0.0009639
2.1014446	-0.0224665	1.1299169	0.0032458	-0.4968052	-415.5103921	-0.0224665	0.0215929	0.0106373	0.0558739	0.0566626	0.1125365	-0.0007888
2.1514772	-0.0254914	0.9749198	0.0027855	-0.0454270	-415.5103921	-0.0254914	0.0217902	0.0127032	0.0562232	0.0567370	0.1129602	-0.0005139
2.2015098	-0.0197703	0.8403084	0.0035088	-1.3585273	-415.5103921	-0.0197703	0.0216586	0.0091331	0.0562890	0.0567364	0.1130255	-0.0004474
2.2515424	-0.0136546	0.7250305	0.0027197	0.8710077	-415.5103921	-0.0136546	0.0224478	0.0131645	0.0565662	0.0569796	0.1135458	-0.0004133
2.3015750	-0.0231241	0.6274422	0.0029827	-0.1411739	-415.5103921	-0.0231241	0.0217244	0.0109783	0.0562067	0.0565866	0.1127933	-0.0003799
2.3516330	-0.0185209	0.5384685	0.0036403	-0.6472646	-415.5103921	-0.0185209	0.0217902	0.0137662	0.0560917	0.0565099	0.1126016	-0.0004182
2.4016656	-0.0149698	0.4776403	0.0026539	0.6179623	-415.5103921	-0.0149698	0.0219874	0.0129439	0.0563890	0.0566922	0.1130812	-0.0003032
2.4516981	-0.0139176	0.4237826	0.0033773	-0.5857131	-415.5103921	-0.0139176	0.0217902	0.0105771	0.0564452	0.0566795	0.1131247	-0.0002343
2.5017307	-0.0212828	0.3736075	0.0031800	0.0571590	-415.5103921	-0.0212828	0.0219217	0.0132848	0.0563085	0.0566093	0.1129178	-0.0003009
2.5517633	-0.0202964	0.3197499	0.0028512	0.2828481	-415.5103921	-0.0202964	0.0219874	0.0101961	0.0567111	0.0568333	0.1135444	-0.0001222
2.6017959	-0.0256230	0.2581983	0.0032458	-0.1274958	-415.5103921	-0.0256230	0.0219874	0.0120614	0.0564934	0.0566370	0.1131304	-0.0001436
