-4.4	-2.48578E-08
-4.5	-2.91034E-08
-4.6	-3.4338E-08
-4.7	-4.13284E-08
-4.8	-4.98162E-08
-4.9	-5.95378E-08
-5	-7.02295E-08
-5.1	-8.32054E-08
-5.2	-1.00013E-07
-5.3	-1.19932E-07
-5.4	-1.42232E-07
-5.5	-1.66181E-07
-5.6	-1.93603E-07
-5.7	-2.27211E-07
-5.8	-2.66417E-07
-5.9	-3.10617E-07
-6	-3.59205E-07
-6.1	-4.16899E-07
-6.2	-4.89262E-07
-6.3	-5.74455E-07
-6.4	-6.7061E-07
-6.5	-7.75855E-07
-6.6	-8.97557E-07
-6.7	-1.04427E-06
-6.8	-1.2117E-06
-6.9	-1.39551E-06
-7	-1.59137E-06
-7.1	-1.80593E-06
-7.2	-2.05132E-06
-7.3	-2.32702E-06
-7.4	-2.63247E-06
-7.5	-2.9671E-06
-7.6	-3.35081E-06
-7.7	-3.8039E-06
-7.8	-4.31769E-06
-7.9	-4.88339E-06
-8	-5.49222E-06
-8.1	-6.1649E-06
-8.2	-6.92765E-06
-8.3	-7.76845E-06
-8.4	-8.67511E-06
-8.5	-9.63548E-06
-8.6	-1.06667E-05
-8.7	-1.18007E-05
-8.8	-1.30375E-05
-8.9	-1.4377E-05
-9	-1.58191E-05
-9.1	-1.74071E-05
-9.2	-1.91853E-05
-9.3	-2.11387E-05
-9.4	-2.32526E-05
-9.5	-2.55119E-05
-9.6	-2.79716E-05
-9.7	-3.06842E-05
-9.8	-3.36065E-05
-9.9	-3.66953E-05
-10	-3.99072E-05
-10.1	-4.32491E-05
-10.2	-4.67865E-05
-10.3	-5.05509E-05
-10.4	-5.45741E-05
-10.5	-5.88876E-05
-10.6	-6.35952E-05
-10.7	-6.87694E-05
-10.8	-7.43694E-05
-10.9	-8.03544E-05
-11	-8.66834E-05
-11.1	-9.34677E-05
-11.2	-0.000100795
-11.3	-0.000108542
-11.4	-0.000116584
-11.5	-0.000124798
-11.6	-0.000133128
-11.7	-0.000141688
-11.8	-0.000150602
-11.9	-0.000159995
-12	-0.000169991
-12.1	-0.00018078
-12.2	-0.000192431
-12.3	-0.000204868
-12.4	-0.000218013
-12.5	-0.000231788
-12.6	-0.000246369
-12.7	-0.000261898
-12.8	-0.00027818
-12.9	-0.000295022
-13	-0.000312231
-13.1	-0.000329749
-13.2	-0.000347752
-13.3	-0.000366374
-13.4	-0.000385749
-13.5	-0.000406013
-13.6	-0.000427329
-13.7	-0.000449758
-13.8	-0.000473261
-13.9	-0.0004978
-14	-0.000523339
-14.1	-0.00055015
-14.2	-0.000578361
-14.3	-0.000607654
-14.4	-0.000637709
-14.5	-0.000668208
-14.6	-0.000698955
-14.7	-0.000730209
-14.8	-0.00076233
-14.9	-0.000795676
-15	-0.000830609
-15.1	-0.000867526
-15.2	-0.000906409
-15.3	-0.000946975
-15.4	-0.000988936
-15.5	-0.001032008
-15.6	-0.001076426
-15.7	-0.001122452
-15.8	-0.001169772
-15.9	-0.001218071
-16	-0.001267035
-16.1	-0.001316321
-16.2	-0.001366203
-16.3	-0.00141731
-16.4	-0.001470273
-16.5	-0.001525722
-16.6	-0.001584295
-16.7	-0.001645884
-16.8	-0.001709983
-16.9	-0.001776082
-17	-0.001843677
-17.1	-0.001913451
-17.2	-0.00198576
-17.3	-0.002059477
-17.4	-0.002133478
-17.5	-0.002206636
-17.6	-0.002277958
-17.7	-0.002348166
-17.8	-0.002418737
-17.9	-0.002491142
-18	-0.002566858
-18.1	-0.002646585
-18.2	-0.002729762
-18.3	-0.002815996
-18.4	-0.002904896
-18.5	-0.002996068
-18.6	-0.003090289
-18.7	-0.003187876
-18.8	-0.003287687
-18.9	-0.003388583
-19	-0.003489424
-19.1	-0.003589374
-19.2	-0.003689209
-19.3	-0.003790208
-19.4	-0.00389365
-19.5	-0.004000814
-19.6	-0.004112333
-19.7	-0.004227748
-19.8	-0.00434671
-19.9	-0.00446887
-20	-0.004593881
